Entity,Code,Year_x,"GDP per capita, PPP (constant 2017 international $)",Harmonized national poverty line_y,Mean income or consumption,population_y,Poverty headcount ratio at national poverty lines (% of population),Latitude (generated),Longitude (generated),Continent
Albania,ALB,2021,14596.016,4.897559685,,2854710,25.4,40.654,20.076,Europe
Algeria,DZA,2021,11029.139,3.908124027,,44177964,5.5,28.6045,2.64,Africa
Angola,AGO,2021,5911.8354,2.225615353,,34503776,32.3,-12.836,17.808,Africa
Argentina,ARG,2021,21599.797,13.30969083,,45276788,30.3,-33.166,-64.31,South America
Armenia,ARM,2021,14206.545,5.123629414,7.779152,2790971,26.4,40.56,44.449,Asia
Australia,AUS,2021,49609.23,33.56455507,,25921094,12.6,-24.578,133.582,Oceania
Austria,AUT,2021,53817.305,31.23785488,66.21727,8922086,13.2,47.65,14.705,Europe
Azerbaijan,AZE,2021,14433.904,4.878053453,,10312992,49.6,40.46,47.883,Asia
Bangladesh,BGD,2021,5911.013,2.572487202,,169356240,48.9,24.598,90.1963,Asia
Belarus,BLR,2021,19872.693,7.670311226,,9578172,41.9,53.3292,27.9492,Europe
Belgium,BEL,2021,52174.906,30.90585244,61.072567,11611416,14.8,50.6745,4.4588,Europe
Benin,BEN,2021,3321.552,1.774617089,5.017792,12996901,37.5,10.478,2.274,Africa
Bhutan,BTN,2021,11595.684,3.494527903,,777500,23.2,27.5342,90.3002,Asia
Bolivia,BOL,2021,8052.6,10.46069109,19.54969,12079474,37.2,-16.71,-65.183,South America
Bosnia and Herzegovina,BIH,2021,15893.156,10.28052038,,3270948,18.2,44.342,17.804,Europe
Botswana,BWA,2021,14906.897,2.273638329,,2588424,30.6,-22.126,23.662,Africa
Brazil,BRA,2021,14735.582,7.036855439,19.175766,214326224,29.4,-11.694,-48.978,South America
Bulgaria,BGR,2021,24386.18,10.87162766,30.462885,6885864,22.9,42.625,24.521,Europe
Burkina Faso,BFA,2021,2176.0933,2.162022231,4.1366935,22100690,41.4,12.673,-1.226,Africa
Burundi,BDI,2021,714.0667,2.143249087,,12551215,67.1,-3.333,29.749,Africa
Cameroon,CMR,2021,3689.359,2.909364029,5.373378,27198632,40.2,4.4,12.131,Africa
Canada,CAN,2021,48356.332,32.19562023,,38155012,10.5,59.2067,-111.1937,North America
Cape Verde,CPV,2021,6356.745,5.085580413,,587936,56.8,15.416,-23.36,Africa
